Sentence ,Masked Sentence,Options,Truth,Options,Rule
"The current was an indefatigable moving power, and it was employed in conveying the floating wood to the moment when the frost enchained it.","The current <***> an indefatigable moving power, and it <***>employed in conveying the floating wood to the moment when the frost enchained it.","was,is*was,were",was*was,,S_V
"A second fireplace had been established in the dining-room, where they all worked together at their different avocations.","A second fireplace <***> been established in the dining-room, where they all <***> together at their different avocations.","had,has*worked,works",had*worked,,S_V
"It was a wide extent of marshy land, and they would probably find good sport, for water-birds ought to swarm there.","It <***> a wide extent of marshy land, and they <***> probably find good sport, for water-birds ought to swarm there.","was,were*would,won't",was*would,,S_V
"As an unknown part of the island was about to be explored, the whole colony took part in the expedition.","As an unknown part of the island <***> about to be explored, the whole colony <***> part in the expedition.","was,were*took,take",was*took,,S_V
"Their shortest way was to cross the Mercy on the ice, which then covered it.","Their shortest way <***> to cross the Mercy on the ice, which then <***> it.","was,were*covered,covers",was*covered,,S_V
"But, as the engineer justly observed, ""that could not take the place of a regular bridge!""","But, as the engineer justly<***>, ""that <***>not take the place of a regular bridge!""","observed,observe*could,can't",observed*could,,S_V
"So, the construction of a regular bridge was noted in the list of future works and was also the first priority on  the list","So, the construction of a regular bridge <***> noted in the list of future works and <***> also the first priority on  the list.","was,were*was,were",was*was,,S_V
"I should say those are foxes!"" cried Herbert, when he saw the troop rapidly decamping.","I <***> say those are foxes!"" cried Herbert, when he <***> the troop rapidly decamping.","should,shouldn't*saw,see",should*saw,,S_V
"The dog had reason to be surprised, as he did not know Natural History.","The dog <***> reason to be surprised, as he <***> know Natural History.","had,have*didn't,doesn't",had*didn't,,S_V*N_P_I
"But, by their barking, these foxes, with reddish-gray hair, black tails terminating in a white tuft, had betrayed their origin.","But, by their barking, these foxes, with reddish-gray hair, black tails<***> in a white tuft, <***> betrayed their origin.","terminating,terminates*had,have",terminating*had,,S_V
"So Herbert was able, without hesitating, to give them their real name of ""Arctic foxes.""","So Herbert <***> able, without hesitating, to <***> them their real name of ""Arctic foxes.""","was,were*give,gives",was*give,,S_V
"They are frequently met with in Chile, in the Falkland Islands, and in all parts of America traversed by the thirtieth and fortieth parallels.","They <***> frequently met with in Chile, in the Falkland Islands, and in all parts of America <***> by the thirtieth and fortieth parallels.","are,is*traversed,traverse",are*traversed,,S_V
Herbert much regretted that Top had not been able to catch one of these carnivora.,Herbert much <***> that Top <***> been able to catch one of these carnivora.,"regretted,regrets*hadn't,haven't",regretted*hadn't,,S_V*N_P_I
"Are they good to eat? asked Pencroft, who only regarded the representatives of the fauna in the island from one special point of view.","<***> they good to eat? asked Pencroft, who only <***> the representatives of the fauna in the island from one special point of view.","Are,is*regarded,regards",Are*regarded,,S_V
"Harding could not help smiling on hearing the lad's reflection, which showed a thoughtful mind.","Harding <***> help smiling on hearing the lad's reflection, which <***> a thoughtful mind.","couldn't,wouldn't*showed,shows",couldn't*showed,,N_P_I*S_V
"After having turned the point, the settlers saw a long beach washed by the open sea.","After<***> turned the point, the settlers <***> a long beach washed by the open sea.","having,have*saw,see",having*saw,,S_V
"Besides there was no wind, which made it much more bearable.","Besides there <***> no wind, which <***> it much more bearable.","was,were*made,mades",was*made,,S_V
"A brilliant sun, but without any calorific action, was itself just issuing from the ocean.","A brilliant sun, but without any calorific action, <***> <***> just issuing from the ocean.","was,were*itself,yourself",was*itself,,S_V*R_A
"The sea was as tranquil and blue as that of a Mediterranean gulf, when the sky is clear.","The sea <***> as tranquil and blue as that of a Mediterranean gulf, when the sky <***> clear.","was,were*is,are",was*is,,S_V
"Claw Cape, bent in the form of a yataghan, tapered away nearly four miles to the southeast.","Claw Cape, <***> in the form of a yataghan, <***> away nearly four miles to the southeast.","bent,bents*tapered,tapers",bent*tapered,,S_V
"Until a more complete exploration, it might be admitted that the island was uninhabited.","Until a more complete exploration, it <***> be admitted that the island <***>uninhabited.","might,may*was,were",might*was,,S_V
"Behind in the west, but at a distance of four miles, rose the first trees which was in the forests of the Far West.","Behind in the west, but at a distance of four miles,<***> the first trees which <***> in the forests of the Far West.","rose,roses*was,were",rose*was,,S_V
They might have believed themselves to be on the desolate coast of some island in the Antarctic regions which the ice had invaded.,They <***>  have believed themselves to be on the desolate coast of some island in the Antarctic regions which the ice <***>  invaded.,"might,may*had,has",might*had,,S_V
"This part of Lincoln Island was very sterile, and contrasted with all the western part.","This part of Lincoln Island <***>  very sterile, and<***> with all the western part.","was,were*contrasted,contrasts",was*contrasted,,S_V
"Before Granite House, at least, there were sandbanks, an islet, which multiplied our chances of safety.","Before Granite House, at least, there <***>  sandbanks, an islet, which <***>  our chances of safety.","were,was*multiplied,multiplies",were*multiplied,,S_V
"It is singular enough, remarked Spilett, ""that this comparatively small island should present such varied ground.","It <***>  singular enough, remarked Spilett, ""that this comparatively small island <***>  present such varied ground.","is,are*should,would",is*should,,S_V
"Since he was in doubt, it was best to take precautions against a possible descent of neighboring natives","Since he <***> in doubt, it <***> best to take precautions against a possible descent of neighboring natives","was,is*was,were",was*was,,S_V
"You are right, my dear Spilett, replied Cyrus Harding, ""I have also observed this.","You <***> right, my dear Spilett, replied Cyrus Harding, ""I <***> also observed this.","are,is*have,has",are*have,,S_V
I myself think the form and also the nature of this island strange.,I <***> <***> the form and also the nature of this island strange.,"myself,themselves*think,thinks",myself*think,,R_A*S_V
